code,eta,d,p,pl,sigma,errors,shots
css,0.5,5,0.009800000000000015,0.1537295067319524,0.0008150112063539383,30109,195857
css,0.5,5,0.009900000000000016,0.15570194776564567,0.0008257682598462601,30017,192785
css,0.5,5,0.010000000000000016,0.15959064916343826,0.0008430934410508517,30113,188689
css,0.5,7,0.004,0.011676666666666667,0.00019613837390053575,3503,300000
css,0.5,7,0.0041,0.01282,0.00020539714828607565,3846,300000
css,0.5,7,0.004200000000000001,0.01364,0.00021177577792894954,4092,300000
css,0.5,7,0.004300000000000001,0.01551,0.00022561154988180385,4653,300000
css,0.5,7,0.004400000000000001,0.01647,0.00023237515957838517,4941,300000
css,0.5,7,0.004500000000000001,0.018206666666666666,0.00024410310742277452,5462,300000
css,0.5,7,0.004600000000000002,0.01946,0.00025220371739059777,5838,300000
css,0.5,7,0.004700000000000002,0.02101,0.0002618477681439954,6303,300000
css,0.5,7,0.004800000000000002,0.02219,0.00026893798899751617,6657,300000
css,0.5,7,0.0049000000000000024,0.024703333333333334,0.0002833946092383778,7411,300000
css,0.5,7,0.005000000000000003,0.026143333333333334,0.0002913218326398119,7843,300000
css,0.5,7,0.005100000000000003,0.02791,0.0003007306899045284,8373,300000
css,0.5,7,0.005200000000000003,0.029493333333333333,0.00030889113037755114,8848,300000
css,0.5,7,0.0053000000000000035,0.03146,0.0003186999560384398,9438,300000
css,0.5,7,0.005400000000000004,0.03302,0.00032624275248303164,9906,300000
css,0.5,7,0.005500000000000004,0.035726666666666664,0.0003388749799754162,10718,300000
css,0.5,7,0.005600000000000004,0.03779,0.0003481499045728115,11337,300000
css,0.5,7,0.0057000000000000045,0.0398,0.00035691520260880405,11940,300000
css,0.5,7,0.005800000000000005,0.04239333333333333,0.00036786184594413823,12718,300000
css,0.5,7,0.005900000000000005,0.044743333333333336,0.0003774560276478475,13423,300000
css,0.5,7,0.006000000000000005,0.04747,0.0003882315931901595,14241,300000
css,0.5,7,0.006100000000000006,0.04969,0.000396742663966311,14907,300000
css,0.5,7,0.006200000000000006,0.05189333333333333,0.00040497292343866925,15568,300000
css,0.5,7,0.006300000000000006,0.055426666666666666,0.00041775206198601395,16628,300000
css,0.5,7,0.006400000000000006,0.058113333333333336,0.0004271480705173164,17434,300000
css,0.5,7,0.006500000000000007,0.061413333333333334,0.0004383384722398964,18424,300000
css,0.5,7,0.006600000000000007,0.06339,0.0004448675661301582,19017,300000
css,0.5,7,0.006700000000000007,0.06715333333333333,0.0004569616280766381,20146,300000
css,0.5,7,0.006800000000000007,0.06954333333333333,0.00046442602594230775,20863,300000
css,0.5,7,0.006900000000000008,0.07351333333333333,0.000476478409531092,22054,300000
css,0.5,7,0.007000000000000008,0.07679,0.0004861195209965308,23037,300000
css,0.5,7,0.007100000000000008,0.08026666666666667,0.0004960654192731756,24080,300000
css,0.5,7,0.0072000000000000085,0.08344333333333333,0.0005049120943807772,25033,300000
css,0.5,7,0.007300000000000009,0.08705666666666667,0.0005147106207503416,26117,300000
css,0.5,7,0.007400000000000009,0.08993,0.0005223117932589283,26979,300000
css,0.5,7,0.007500000000000009,0.09425333333333333,0.0005334476128248666,28276,300000
css,0.5,7,0.0076000000000000095,0.09877,0.0005447162166389297,29631,300000
css,0.5,7,0.00770000000000001,0.10133723148182533,0.000554477992647795,30017,296209
css,0.5,7,0.00780000000000001,0.10485273159972543,0.0005718761305279069,30092,286993
css,0.5,7,0.007900000000000011,0.10940099379334195,0.000595550922699889,30053,274705
css,0.5,7,0.00800000000000001,0.11339452858687177,0.0006153729268626312,30105,265489
css,0.5,7,0.00810000000000001,0.11563972669557436,0.0006267204616779987,30109,260369
css,0.5,7,0.008200000000000011,0.12057164649445014,0.0006524269871690941,30035,249105
css,0.5,7,0.008300000000000012,0.12442908691105535,0.0006710513259838777,30104,241937
css,0.5,7,0.008400000000000012,0.1276882689477635,0.0006872996572152568,30108,235793
css,0.5,7,0.008500000000000011,0.13289080533328626,0.0007131429837413106,30110,226577
css,0.5,7,0.008600000000000012,0.1370089649923203,0.0007340920638893023,30061,219409
css,0.5,7,0.008700000000000013,0.14096546550066819,0.0007535324315639802,30063,213265
css,0.5,7,0.008800000000000013,0.14586820768861264,0.0007775117105567608,30063,206097
css,0.5,7,0.008900000000000012,0.15003209322459785,0.0007965629928342044,30153,200977
css,0.5,7,0.009000000000000013,0.15402053539061664,0.0008156420090657535,30166,195857
css,0.5,7,0.009100000000000014,0.1580029045229819,0.0008351610287915812,30137,190737
css,0.5,7,0.009200000000000014,0.16055204753150562,0.0008474478884396563,30130,187665
css,0.5,7,0.009300000000000013,0.1658871425344726,0.0008730821357376406,30112,181521
css,0.5,7,0.009400000000000014,0.17097975635058757,0.0008964046536553139,30161,176401
css,0.5,7,0.009500000000000015,0.17625119672025233,0.0009234440610608186,30008,170257
css,0.5,7,0.009600000000000015,0.179890540419296,0.0009393793789692073,30075,167185
css,0.5,7,0.009700000000000014,0.18227290068246366,0.0009500416123526256,30100,165137
css,0.5,7,0.009800000000000015,0.18875044813293668,0.0009813676256938964,30010,158993
css,0.5,7,0.009900000000000016,0.19082224993511385,0.0009886669450310526,30144,157969
css,0.5,7,0.010000000000000016,0.1995875358916718,0.001029250039698698,30098,150801
css,0.5,9,0.004,0.00727,0.000155112134854158,2181,300000
css,0.5,9,0.0041,0.008236666666666666,0.00016502123962399903,2471,300000
css,0.5,9,0.004200000000000001,0.009126666666666667,0.0001736293337463845,2738,300000
css,0.5,9,0.004300000000000001,0.010233333333333334,0.00018375144467691618,3070,300000
css,0.5,9,0.004400000000000001,0.0115,0.00019466644586023547,3450,300000
css,0.5,9,0.004500000000000001,0.012333333333333333,0.000201510746961198,3700,300000
css,0.5,9,0.004600000000000002,0.013493333333333333,0.00021064985066340976,4048,300000
css,0.5,9,0.004700000000000002,0.01531,0.00022417505603325796,4593,300000
css,0.5,9,0.004800000000000002,0.01612,0.00022993385421320872,4836,300000
css,0.5,9,0.0049000000000000024,0.018163333333333333,0.00024381783565069481,5449,300000
